Altium Designer Pick and Place Locations
C:\Users\Joe\Documents\FEE\boards\Miniscope_DAQ_PCB\v3_2\Design Files\Project Outputs for Miniscope_USB_Control\Pick Place for USB_Control.csv

========================================================================================================================
File Design Information:

Date:       18/07/19
Time:       18:39
Revision:   1b0c39ee5c4cf578d81e2a87d28075a2fafe200e
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C84","Capacitor","TopLayer","SMD_Capacitor_0603","394.000mil","1375.041mil","90",""
"C83","Capacitor","TopLayer","SMD_Capacitor_0603","443.000mil","1375.041mil","90",""
"U13","ADN4663","TopLayer","SOIC127P600X175-8N","278.000mil","1557.500mil","180","ADN4663"
"J6","10029449-111RLF","TopLayer","FCI-10029449-111RLF_V","195.157mil","934.055mil","270","Surface Mount Type A HDMI Receptacle without Flange, 19 Positions, 0.5 mm Pitch, -55 to 85 degC, RoHS, Tape and Reel"
"R67","Resistor","TopLayer","SMD_Resistor_0603","1964.000mil","1294.999mil","90",""
"R62","Resistor","TopLayer","SMD_Resistor_0603","1914.000mil","1295.314mil","90",""
"V12P0","Light Pipe","TopLayer","Light_Pipe","3494.000mil","1279.999mil","0",""
"J9","3 Pin Connector","TopLayer","3Pin_Verital_0.1"_JUMOER","3434.000mil","1704.999mil","360","3 Pin Connector"
"LOCK","Light Pipe","TopLayer","Light_Pipe","3494.000mil","1484.999mil","0",""
"V3P3","Light Pipe","TopLayer","Light_Pipe","3494.000mil","1054.999mil","0",""
"R36","10k","TopLayer","SMD_Resistor_0603","2544.000mil","1604.999mil","360",""
"TP4","TESTPIN","TopLayer","TESTPIN","2959.000mil","1339.999mil","0","TESTPIN SINGLE PIN HEADER"
"TP3","TESTPIN","TopLayer","TESTPIN","3059.000mil","1339.999mil","0","TESTPIN SINGLE PIN HEADER"
"J8","4 Pin Connector","TopLayer","4Pin_Verital_0.1"","3059.000mil","1659.999mil","270",""
"J7","4 Pin Connector","TopLayer","4Pin_Verital_0.1"","2959.000mil","1659.999mil","270",""
"C39","Capacitor","TopLayer","SMD_Capacitor_0603","1904.000mil","1069.999mil","360",""
"U18","transistor NPN","TopLayer","SOT23127P600-8N","3339.001mil","1050.000mil","360","transistor NPN"
"U16","transistor NPN","TopLayer","SOT23127P600-8N","3339.001mil","1485.000mil","360","transistor NPN"
"U12","LED","TopLayer","LED_0603","3494.000mil","1484.999mil","90",""
"U11","LED","TopLayer","LED_0603","3499.001mil","1280.000mil","90",""
"R66","Resistor","TopLayer","SMD_Resistor_0603","3184.000mil","1489.999mil","90",""
"R61","Resistor","TopLayer","SMD_Resistor_0603","3234.001mil","1490.000mil","270",""
"R60","Resistor","TopLayer","SMD_Resistor_0603","3234.000mil","1284.999mil","270",""
"U2","EZ FX3 USB","TopLayer","BGA121C80P11X11_1000X1000X100","2179.001mil","855.000mil","180",""
"u9","CrystalOSC_General","TopLayer","NX3225SA","2664.001mil","375.000mil","90",""
"U7","TPS76801QD","TopLayer","TI-D8_N","1004.000mil","1690.000mil","360","Single Output Fast Transient Response LDO, 1 A, Adjustable 1.2 to 5.5 V Output, 2.7 to 10 V Input, with Low IQ, 8-pin SOIC (D), -40 to 125 degC, Green (RoHS & no Sb/Br)"
"U6","TPS74801DRCR","TopLayer","TI-DRC10-2400X1650TP_V","999.314mil","1240.314mil","0","Single Output LDO, 1.5 A, Adjustable 0.8 to 3.6 V Output, 0.8 to 5.5 V Input, with Programmable Soft Start, 10-pin SON (DRC), -40 to 125 degC, Green (RoHS & no Sb/Br)"
"U5","24AA1025-I/P","TopLayer","PDIP300-P8","1104.001mil","695.000mil","90","1 Mbit, 400kHz, 1.7V, I2C Serial EEPROM, 8-Pin PDIP, Industrial Temperature"
"U3","USB Overvoltage Protection","TopLayer","TSOP-5___NCP361SNT1G","1384.001mil","205.000mil","180",""
"U1","ESD_4Channel","TopLayer","SP3010-04UTG","2234.001mil","335.000mil","180",""
