Altium Designer Pick and Place Locations
C:\Users\Joe\Documents\Fee-Scopes\python_pcb\Design\Project Outputs for Python_Imaging\Pick Place for PCB2.txt

========================================================================================================================
File Design Information:

Date:       18/05/22
Time:       16:33
Revision:   b7bae2d41f8185cd3b8242e6c6aad4ef823387b7
Variant:    No variations
Units used: mil

Designator Comment              Layer       Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                    
C1         GRM033C71C104KE14D   BottomLayer PCB-v6eq6etc9p7u7qdkgnno-1 -25.000       -83.000       0        "0.1 µF ±10% 16V Ceramic Capacitor X7S 0201 (0603 Metric)
"                                                                   
C2         GRM033C71C104KE14D   BottomLayer PCB-v6eq6etc9p7u7qdkgnno-1 -81.000       -39.500       270      "0.1 µF ±10% 16V Ceramic Capacitor X7S 0201 (0603 Metric)  "                                                                   
C3         GRM033C71C104KE14D   BottomLayer PCB-v6eq6etc9p7u7qdkgnno-1 92.000        -62.101       180      "0.1 µF ±10% 16V Ceramic Capacitor X7S 0201 (0603 Metric)  "                                                                   
C4         GRM033C71C104KE14D   BottomLayer PCB-v6eq6etc9p7u7qdkgnno-1 110.395       -2.000        270      "0.1 µF ±10% 16V Ceramic Capacitor X7S 0201 (0603 Metric)"                                                                     
C5         GRM033C71C104KE14D   BottomLayer PCB-v6eq6etc9p7u7qdkgnno-1 92.000        -85.872       180      "0.1 µF ±10% 16V Ceramic Capacitor X7S 0201 (0603 Metric)"                                                                     
C6         GRM033C71C104KE14D   BottomLayer PCB-v6eq6etc9p7u7qdkgnno-1 -98.000       40.000        0        "0.1 µF ±10% 16V Ceramic Capacitor X7S 0201 (0603 Metric)  "                                                                   
C7         GRM155R61A106ME11D   BottomLayer PCB-uspfzztrpe7hn2xlyjz9-1 -108.890      -5.000        90       "10 µF ±20% 10V Ceramic Capacitor X5R 0402 (1005 Metric)"                                                                      
C8         GRM033R71A103KA01D   BottomLayer PCB-v6eq6etc9p7u7qdkgnno-1 93.000        -39.000       180      "10000 pF ±10% 10V Ceramic Capacitor X7R 0201 (0603 Metric)"                                                                   
C9         GRM033C71C104KE14D   BottomLayer PCB-v6eq6etc9p7u7qdkgnno-1 -98.000       64.000        0        "0.1 µF ±10% 16V Ceramic Capacitor X7S 0201 (0603 Metric)"                                                                     
